Item Name,Item Variation,SKU,Category,Items Sold,Gross Sales,Items Refunded,Refunds,Discounts & Comps,Net Sales,Tax,Unit,Units Sold,Units Refunded
Caramel Apple Cider,16oz,"",Uncategorized,1,$4.25,0,$0.00,$0.00,$4.25,$0.30,ea,1,0
Kyoo Service Charge,Regular,"",Uncategorized,5,$1.25,0,$0.00,$0.00,$1.25,$0.00,ea,5,0
Refill House Coffee,Regular,"",Uncategorized,2,$1.50,0,$0.00,$0.00,$1.50,$0.10,ea,2,0
Cold Brew,16oz.,"",Coffee,3,$14.25,0,$0.00,$0.00,$14.25,$1.01,ea,3,0
Cold Brew,20oz.,"",Coffee,2,$11.75,0,$0.00,-$6.00,$5.75,$0.40,ea,2,0
House Coffee,12oz.,"",Coffee,7,$19.25,0,$0.00,$0.00,$19.25,$1.33,ea,7,0
House Coffee,16oz.,"",Coffee,3,$9.75,0,$0.00,-$3.25,$6.50,$0.46,ea,3,0
House Coffee,20oz.,"",Coffee,1,$3.50,0,$0.00,$0.00,$3.50,$0.25,ea,1,0
2020 Blend,16 oz,"",Coffee Beans,2,$45.12,0,$0.00,$0.00,$45.12,$3.16,ea,2,0
"Honduras - Natural | 
Monte Vista",1 lb,00118,Coffee Beans,1,$22.27,0,$0.00,$0.00,$22.27,$1.56,ea,1,0
Magnolia State Espresso,16 oz,"",Coffee Beans,1,$21.63,0,$0.00,$0.00,$21.63,$1.51,ea,1,0
Americano,12 oz,"",Espresso Based Drinks,1,$3.00,0,$0.00,$0.00,$3.00,$0.21,ea,1,0
Americano,20 oz,"",Espresso Based Drinks,2,$10.00,0,$0.00,$0.00,$10.00,$0.70,ea,2,0
Cappuccino,12 oz,"",Espresso Based Drinks,1,$4.00,0,$0.00,$0.00,$4.00,$0.28,ea,1,0
Cappuccino,16 oz,"",Espresso Based Drinks,1,$4.75,0,$0.00,$0.00,$4.75,$0.33,ea,1,0
Cappuccino,20oz,"",Espresso Based Drinks,1,$5.25,0,$0.00,$0.00,$5.25,$0.37,ea,1,0
Caramel Macchiato,12 oz,"",Espresso Based Drinks,1,$4.50,0,$0.00,$0.00,$4.50,$0.32,ea,1,0
Caramel Macchiato,16 oz,"",Espresso Based Drinks,5,$27.50,0,$0.00,-$1.04,$26.46,$1.86,ea,5,0
Caramel Macchiato,20oz.,"",Espresso Based Drinks,1,$5.75,0,$0.00,$0.00,$5.75,$0.40,ea,1,0
Espresso Double Shot,Regular,"",Espresso Based Drinks,2,$4.00,0,$0.00,$0.00,$4.00,$0.28,ea,2,0
Flavored Americano,20 oz,"",Espresso Based Drinks,1,$4.75,0,$0.00,$0.00,$4.75,$0.33,ea,1,0
Flavored Latte,12 oz,"",Espresso Based Drinks,8,$38.75,0,$0.00,-$0.45,$38.30,$2.66,ea,8,0
Flavored Latte,16 oz,"",Espresso Based Drinks,17,$96.50,0,$0.00,$0.00,$96.50,$6.79,ea,17,0
Flavored Latte,20 oz,"",Espresso Based Drinks,3,$17.25,0,$0.00,$0.00,$17.25,$1.20,ea,3,0
